,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price,house_id,id.1
count,21597.0,21597.0,21597.0,21597.0,21597.0,21597.0,19206.0,21534.0,21597.0,21597.0,21597.0,21145.0,21597.0,17749.0,21597.0,21597.0,21597.0,21597.0,21597.0,21597.0,21597.0,21597.0
mean,4580474287.770987,3.3731999814789093,2.1158262721674306,2080.3218502569803,15099.408760475992,1.4940964022780943,0.007601791106945746,0.23386272870808952,3.4098254387183404,7.657915451220076,1788.5968421540028,291.8572239300071,1970.9996758809093,836.6505155220012,98077.95184516368,47.56009299439737,-122.21398254294577,1986.6203176367087,12758.283511598833,540296.5735055795,4580474287.770987,10799.0
std,2876735715.74778,0.9262988945421479,0.7689842966527209,918.1061250800805,41412.636875502074,0.5396827909775457,0.0868584865944908,0.7656862011746727,0.6505456356725547,1.1731996637760254,827.7597611646754,442.4908629870737,29.37523413244164,4000.110554402094,53.51307235352815,0.13855176817307177,0.140723515449481,685.2304719001586,27274.441950386343,367368.1401013945,2876735715.74778,6234.661217740704
min,1000102.0,1.0,0.5,370.0,520.0,1.0,0.0,0.0,1.0,3.0,370.0,0.0,1900.0,0.0,98001.0,47.1559,-122.519,399.0,651.0,78000.0,1000102.0,1.0
25%,2123049175.0,3.0,1.75,1430.0,5040.0,1.0,0.0,0.0,3.0,7.0,1190.0,0.0,1951.0,0.0,98033.0,47.4711,-122.328,1490.0,5100.0,322000.0,2123049175.0,5400.0
50%,3904930410.0,3.0,2.25,1910.0,7618.0,1.5,0.0,0.0,3.0,7.0,1560.0,0.0,1975.0,0.0,98065.0,47.5718,-122.231,1840.0,7620.0,450000.0,3904930410.0,10799.0
75%,7308900490.0,4.0,2.5,2550.0,10685.0,2.0,0.0,0.0,4.0,8.0,2210.0,560.0,1997.0,0.0,98118.0,47.678,-122.125,2360.0,10083.0,645000.0,7308900490.0,16198.0
max,9900000190.0,33.0,8.0,13540.0,1651359.0,3.5,1.0,4.0,5.0,13.0,9410.0,4820.0,2015.0,20150.0,98199.0,47.7776,-121.315,6210.0,871200.0,7700000.0,9900000190.0,21597.0
